year,school,course_name,moe_course_code,poly_course_code,course_description,reference
2016,School of Business,Diploma in Business,NA,B0C,"The course outcomes are to produce students with the knowledge, skills and attitudes in business and mangement that will lead them to satisfying careers in the respective areas. The course outcomes are as follows: - To equip students with key business knowledge and skills for a range of sectors.- To develop students with entrepreneurial knowledge, skills and mindset.- To develop key people skills such as teamwork and conflict management among students.",http://www.tp.edu.sg/schools/bus/business
2016,School of Business,Diploma in Business Information Technology,T36,B0D,This course equips you with business concepts and the skills to apply IT knowledge to business domains.,http://www.tp.edu.sg/schools/bus/business-information-technology
2016,School of Business,Diploma in Communications & Media Management,T40,B0E,The course aims to equip students with  the skills necessary to function effectively in any area of media or media related industries. Graduates of this course will be armed with fundamental journalistic skills;IT skills;writing skills;media content production skills; communications and media management knowledge;media Law knowledge; and graphic design knowledge     to function effectively as media practitioners.,http://www.tp.edu.sg/schools/bus/communications-and-media-management
2016,School of Business,Diploma in Culinary & Catering Management,T18,B0M,"The CCM diploma prepares students for the food & beverage industry including hotels, independent restaurants, bars, catering companies, beverage distributors, food and ingredient suppliers and more.  Some of the course objectives are:• to provide the food & beverage industry with well-trained manpower in the areas of foodservice as well as food production,• to provide students with a firm foundation in business management, as well as extensive hands-on training in restaurant service and culinary skills, and• to equip students with the skills and knowledge in food and beverage operations and management to assume supervisory or managerial roles in the F&B industry.",http://www.tp.edu.sg/schools/bus/culinary-and-catering-management
2016,School of Business,Diploma in Hospitality & Tourism Management,T08,B0K,"Diploma in Hospitality & Tourism Management graduates should: a) possess technical competence in the three specialized domains of the course, b) possess business foundation skills and knowledge, c) be able to use technology and software applications related to the requirements of the course, d) have developed life skills such as problem-solving, be effective communicators, the ability to learn, e) be proficient in the areas of professional practice and image, and f) be orientated towards productivity, service excellence and creating new value.",http://www.tp.edu.sg/schools/bus/hospitality-and-tourism-management
2016,School of Business,Diploma in Law and Management,T09,B0G,"The Diploma in Law & Management is the only law related polytechnic diploma in Singapore. With both business management subjects and law subjects, it aims to prepare students to join the legal industry as paralegals, administrators and law office managers.",http://www.tp.edu.sg/schools/bus/law-and-management
2016,School of Business,Diploma in Leisure & Events Management,T61,B0P,"The Diploma in Leisure & Events Management  (previously known as the Diploma in Leisure & Resorts Managememt) places heavier emphasis on Events and MICE management in addition to its focus on specific sectors of the leisure industry such as Attractions, Cruise and Spa management.",http://www.tp.edu.sg/schools/bus/leisure-and-events-management
2016,School of Business,Diploma in Leisure & Resort Management,T19,B0N,Renamed as 'Diploma in Leisure & Events Management',na
2016,School of Business,Diploma in Logistics & Operations Management,NA,B0H,"The Diploma in Logistics & Operations Mangement is the pioneer polytechnic diploma in Logistics with the largest network of graduates. The course equips students with the ability to:- apply logistics and operations skills (for example, make purchasing decisions, manage inventory, support warehouse operations, and/or plan transportation or freight operations) in a globalised environment- apply appropriate IT tools and technologies to facilitate the management of logistical activities and improve performance in the supply chain- specialise in areas such as Cold Chain & Chemical Logistics, or Project & Events logistics",http://www.tp.edu.sg/schools/bus/logistics-and-operations-management
2016,School of Business,Diploma in Marketing,NA,B0I,"The Diploma in Marketing aims to prepare graduates for the world of dynamic change in professional marketing. It provides a holistic marketing education in developing students into professional marketers and life-long independent learners in terms of balancing their intelligence quotient, emotional intelligence and adaptability quotient. The diploma want to produce graduates who are creative, flexible and independent problem solvers.",http://www.tp.edu.sg/schools/bus/marketing
2016,School of Business,Diploma in Retail Management,T39,B0L,The three-year course prepares students for the dynamic retail industry by arming them with a business and management foundation and specialist retailing skills.,http://www.tp.edu.sg/schools/bus/retail-management
2016,School of Design,Diploma in Apparel Design & Merchandising,T20,D0C,"The diploma’s main outcome is to train students with professional knowledge and skills to support and contribute to the growth of the apparel industry.The emphasis here is on student centered learning and is further enhanced by team work, regular critique sessions with peers, lecturers and the industry",http://www.tp.edu.sg/schools/des/apparel-design-and-merchandising.
2016,School of Design,Diploma in Communication Design,T59,D0K,"The course outcomes are to train students to be graduates that are able to design and communicate creatively in the areas of advertising, graphic design, photography and digital design.The curriculum encompass design studies in and beyond the area of communication design. Its emphasis is in the development of the students’ ability for creative and conceptual thinking, multi-disciplinary capability and technological competency. Essential skills covered include, creative ideation, print and publication, digital skills and professional practice.",http://www.tp.edu.sg/schools/des/communication-design-t59
2016,School of Design,Diploma in Digital Film & Television,T23,D0J,"The course focuses on the development of creative skills in content creation for the motion picture and television mediums.   Students are trained to create content that is commercially viable and exportable, in the non-fictional areas of factual and entertainment programmes as well as in fictional films.  Subjects cover skills and knowledge that are commonly required in the pre-production process of video creation, as well as creative and technical skills in both the production and post-production stages.  A graduate will be equipped with the skills and knowledge to:• Conceptualize projects for the motion picture or television mediums.• Apply pre-production, production and post-production aspects of digital film and video projects.• Develop stories and translate them into visuals for motion pictures or television. • Demonstrate integrity at both personal and professional level.• Communicate and present effectively, and work well in a team.Students are exposed to client-based projects that will equip them with real-world working experience. Similarly, as part of the curriculum, the Student Internship Programme increasees students’ exposure to professional practices in Singapore and possibly overseas.",http://www.tp.edu.sg/schools/des/digital-film-and-television
2016,School of Design,Diploma in Environment Design,T46,D0I,"The objectives of this course are: a) To respond to the Government’s call for developing knowledge & skills in Environment Design to fulfill the rising need for trained graduatesb) To ensure employability of the graduates in related fields by offering an inter-disciplinary and flexible broad band based academic curriculum.c) To provide graduates with progression conduits to pursue related fields like landscape architecture, architecture, urban planning, etc. at the undergraduate level.",http://www.tp.edu.sg/schools/des/environment-design
2016,School of Design,Diploma in Interactive Media Design,T21,D0D,Merged with 'Diploma in Visual Communication' under 'Diploma in Communication Design',na
2016,School of Design,Diploma in Interior Architecture & Design,T22,D0A,"The objective of the course is to educate the student to be a professional designer. This objective is expressed through project and multidisciplinary subjects work to encourage creative, analytical and technical abilities required for the sensitive design and understanding of interior spaces.The course outlines the characteristics of interior environments and guides the student in making discerning choices concerning the function, the construction, and the visual qualities of interior spaces.Student should have the ability to subject the elements of interior design activity, from problem identification to design realisation, to a sustained and intensive process combining conceptual modeling, critical analysis and rational evaluation judgment.Student would define key variables relating to individual, social and cultural aspects of the needs of clients and users, within a project context, and apply an understanding of these to the development of design proposal.",http://www.tp.edu.sg/schools/des/interior-architecture-and-design
2016,School of Design,Diploma in Product & Industrial Design,T35,D0E,"The course aims to produce graduates who are able to conceptualise, design, and create innovative product solutions with appropriate design processes.   Essential knowledge covered include the approaches of user/consumer insights and prototyping, experience, interaction and visualisation skills as well as the understanding of professional practice.",http://www.tp.edu.sg/schools/des/product-and-industrial-design
2016,School of Design,Diploma in Retail & Hospitality Design,T47,D0H,"Retail and Hospitality Design is a multidisciplinary program that encompasses spatial design and extends to integrate communication graphics, visual merchandising and environmental branding with emphasis on emerging lifestyles, culture and new concepts in design. The course curriculum demands observation, research, analysis and ability to communicate design ideas and concepts within an interior environment in areas related to Retail and Hospitality including F&B, Leisure and Entertainment related spaces.The course emphasizes on developing designers trained and specialized in the multidisciplinary program that encompasses spatial design that extends to integrate communication graphics, visual merchandising and environmental branding with emphasis on emerging lifestyles, culture and new concepts in design.The design education of the students from this programme is expressed through project work selected to encourage creative, analytical and technical abilities required for the sensitive design and understanding of interior spaces relevant to this discipline.Throughout the course when opportunities arise, students will be exposed to live projects that will equip them with real-world working experience. Opportunities may be given for students to sharpen their competitive edge by participating in international and local competitions. Similarly, as part of the curriculum, the Student Internship Programme will increase students’ exposure to professional practices in Singapore and possibly overseas.",http://www.tp.edu.sg/schools/des/retail-and-hospitality-design
2016,School of Design,Diploma in Visual Communication,T24,D0B,Merged with 'Diploma in Interactive Media Design' under 'Diploma in Communication Design',na
2016,School of Engineering,Common Engineering Programme,T56,E1C,The Common Engineering Programme is a common entry point for eight engineering diploma courses at School of Engineering in Temasek Polytechnic. Students select the diploma of your choice in the second year.,http://www.tp.edu.sg/schools/eng/common-engineering-programme
2016,School of Engineering,Diploma in 3D Interactive Media Technology,T49,E0Z,"The course provides our students with a solid fundamental knowledge in mathematics, engineering, computer technology and design; and the ability to apply this knowledge creatively to solve technological and design problems in the field of IDM.",http://www.tp.edu.sg/schools/eng/3d-interactive-media-technology
2016,School of Engineering,Diploma in Aerospace Electronics,T50,E0U,"The desired outcomes of the course are that graduates should be able to:1.         Understand aviation legislations, human factors and their impacts on the aviation industry. 2.         Demonstrate knowledge and practical skills relevant to common aircraft maintenance, repair and overhaul (MRO) practices and procedures. 3.         Demonstrate knowledge and skills in relation to the operation of aircraft electrical and avionic systems.4.         Understand and apply fundamental Electrical, Electronics and Mathematics knowledge and skills in avionic systems.5.         Understand basic aircraft aerodynamic principles and its applications in the operation of an aircraft.6.         Demonstrate lifelong skills such as problem solving, effective communication skills, team and independent work skills, and adaptability to changing technologies.7.         Demonstrate positive attitudes such as a desire for continuous upgrading of knowledge and skills, initiative, integrity, and responsibility.",http://www.tp.edu.sg/schools/eng/aerospace-electronics
2016,School of Engineering,Diploma in Aerospace Engineering,T51,E0T,"1. Understand legislation and human factors in the aviation industry, 2. Demonstrate knowledge and skills relevant to common aircraft maintenance, repair and overhaul (MRO) practices and procedures, 3. Demonstrate knowledge and skills required in the MRO of aircraft engine and airframe, 4. Understand and apply fundamental electrical, electronics and mathematics knowledge and skills in basic avionics system, 5. Understand basic aircraft aerodynamics principles, 6. Demonstrate such lifelong skills as problem solving, effective communication skills, team and independent work skills, and adaptability to changing technologies, and 7. Demonstrate positive attitudes such as a desire for continuous upgrading of knowledge and skills, initiative, integrity, and responsibility.",http://www.tp.edu.sg/schools/eng/aerospace-engineering-t51
2016,School of Engineering,Diploma in Aviation Management & Services,T04,E0P,"The Diploma in Aviation Management & Services emphasizes on developing aviation professionals that are trained and specialised in the management and operations of airports and airlines. In addition, students will also be provided with overview of other related aviation fields such flight training and air traffic management",http://www.tp.edu.sg/schools/eng/aviation-management-and-services
2016,School of Engineering,Diploma in Biomedical Engineering,T38,E1F,"The course curriculum was designed and developed to meet the needs of the industry and to be aligned with TP Desired Graduate Profile.The diploma aims to equip graduates with the knowledge and skills to support the biomedical sciences industry in Singapore.The 3-year program is designed to prepare our students for diverse careers, from opportunities in biomedical sciences to opportunities in electronics industries.",http://www.tp.edu.sg/schools/eng/biomedical-engineering
2016,School of Engineering,Diploma in Biomedical Informatics & Engineering,NA,E0I,Renamed as 'Diploma in Biomedical Engineering',na
2016,School of Engineering,Diploma in Business Process & Systems Engineering,T43,E0K,"The diploma aims to equip graduates with the knowledge and skills to support the manufacturing and service industries.The program is designed to prepare our students for diverse careers, from opportunities in systems engineering to opportunities in manufacturing, logistics and service oriented industries.",http://www.tp.edu.sg/schools/eng/business-process-and-systems-engineering
2016,School of Engineering,Diploma in Clean Energy,T52,E0V,"With environmental concerns such as global warming and the depletion of fossil fuels, the pursuit of alternative clean and green energy sources for a more sustainable energy mix has become extremely urgent and vital today. This course aims to train the students in technologies that enable clean electricity to be generated, distributed, managed and used efficiently.",http://www.tp.edu.sg/schools/eng/clean-energy
2016,School of Engineering,Diploma in Computer Engineering,T13,E0C,"The diploma aims to equip students with the knowledge and skills in computer systems, embedded systems, networking, enterprise and web-based development in order to meet the demand for graduates with hardware, software and system integration skills brought about by the rapid growth of the emerging trends such as internet of things, wireless sensor networks and cloud computing, as well as the Smart Nation Initiative in Singapore and beyond.",http://www.tp.edu.sg/schools/eng/computer-engineering
2016,School of Engineering,Diploma in Electronics,NA,E0E,"The course serves to see through the training of young professionals in the support and drive for the continuing challenging tasks ahead in the electronics industries and its wide area of applications. It offers a structured course at the diploma level to address the need for manpower training in this area.Also, with emergence of new age industries where multi-disciplinary fields will play significant role in economies, there is a need for such professionals who can offer solutions and support across disciplines.",http://www.tp.edu.sg/schools/eng/electronics
2016,School of Engineering,Diploma in Electronics,NA,E1E,"The course serves to see through the training of young professionals in the support and drive for the continuing challenging tasks ahead in the electronics industries and its wide area of applications. It offers a structured course at the diploma level to address the need for manpower training in this area.Also, with emergence of new age industries where multi-disciplinary fields will play significant role in economies, there is a need for such professionals who can offer solutions and support across disciplines.",http://www.tp.edu.sg/schools/eng/electronics
2016,School of Engineering,Diploma in Green Building & Sustainability,T29,E0X,"The course will equip students with the fundamental engineering knowledge and practical skills in Green Building Technologies and Practices, Sustainable Design and Energy Efficiency",http://www.tp.edu.sg/schools/eng/green-building-and-sustainability
2016,School of Engineering,Diploma in Infocomm & Network Engineering,T37,E0Y,"The diploma aims to equip students with the knowledge and application of IT, computer networking and communications technologies in order to serve the rapid growth of the Infocomm industry in Singapore. It also provides a better engineering foundation through the Common Engineering Programme (CEP) and aligns to other subjects that build on the topics covered.",http://www.tp.edu.sg/schools/eng/infocomm-and-network-engineering
2016,School of Engineering,Diploma in Integrated Facility Management,T28,E0W,"The course team has designed and developed the course curriculum with a balance of industry needs and alignment with the TP Desired Graduate Profile and the International Facility Management Association (IFMA) competencies. This Diploma focuses on bringing students into the multi-disciplinary FM profession by equipping them with Technical and Management Skills to integrate people, place and process in a built environment.In October 2010, the Diploma became the first Diploma in the world to be awarded the International Facility Management Association (IFMA) Foundation Accredited Degree Program – a testimonial of the high standard of our diploma program. The objective is therefore to train a group of Para-professionals who will meet the needs of the Facility Management industry, and who in turn would have a good head start if they were to pursue the certification of an FM Professional, mapping them against the eleven competencies defined by IFMA.",http://www.tp.edu.sg/schools/eng/integrated-facility-management-t28
2016,School of Engineering,Diploma in Mechatronics,NA,E0M,"This course begins with a solid foundation in fundamental engineering knowledge and skills, which will then expand into core competency area such as automation, robotics, mechatronics design, programmable logic controllers, electromechanical, pneumatics, vision systems, computer numerical control, sensors integration, microcontroller programming and control engineering. The aims of this course are to produce competent and conscientious Mechatronics technologists who will be able to meet the demands of the industries, and have the ability to acquire knowledge and skills relevant to their profession.",http://www.tp.edu.sg/schools/eng/mechatronics
2016,School of Engineering,Diploma in Media & Communication Technology,T12,E0R,"The course trains technologist who would be competent in the media & communication industry, who knows the digital media value chain e.g. from pre-production stage to consumption stage, can creatively design and produce a digital media production and is able to critically select the corresponding technology used in the distribution stage so as to meet the expectation of his employer.",http://www.tp.edu.sg/schools/eng/media-and-communication-technology
2016,School of Engineering,Diploma in Microelectronics,T14,E0L,"The course trains technologist with the fundamental engineering knowledge and practical skills in IC design, Wafer fabrication Processes, IC Assembly and Test. With these, graduates will be able to contribute to the semiconductor industry.",http://www.tp.edu.sg/schools/eng/microelectronics
2016,School of Engineering,Electrical & Electronic Engineering Programme,T05,E1D,This is a common entry point for four EEE-related diploma courses at School of Engineering in Temasek Polytechnic. Students select the diploma of your choice in the second year.,http://www.tp.edu.sg/schools/eng/electrical-and-electronic-engineering-programme
2016,School of Engineering,Mechatronics/Aerospace Engineering,T06,E1B,The Mechatronics/Aerospace Engineering programme is a common entry point for the Diploma in Mechatronics and the Diploma in Aerospace Engineering. Students select the diploma of your choice in the second year.,http://www.tp.edu.sg/schools/eng/mechatronics-and-aerospace-programme
2016,School of Humanities & Social Sciences,Diploma in Early Childhood Studies,T54,G0C,"Graduates from the course will acquire the essential skills and knowledge to graduate as effective early childhood professionals.  Career prospects are not limited only to pre-school teaching.  With a core curriculum in both psychology (in particular knowledge of young children’s development) and training in designing, planning and implementing appropriate activities in order to facilitate rich learning environments for young learners, graduates will also be poised to choose multiple career and academic pathways upon graduation.  Potential employers will be able to deploy graduates in various children-related settings.",http://www.tp.edu.sg/schools/hss/early-childhood-studies
2016,School of Humanities & Social Sciences,Diploma in Gerontological Management Studies,T53,G0B,The proposed diploma explores ageing issues in terms of the emerging needs and desires of the baby boomer’s psyche. It is designed to prepare students for a variety of paraprofessional careers in the silver industry. The graduates of the course will develop attributes that are aligned with the TP desired graduate profile.,http://www.tp.edu.sg/schools/hss/gerontological-management-studies
2016,School of Humanities & Social Sciences,Diploma in Psychology Studies,T48,G0A,"The Diploma in Psychology Studies prepares students for a variety of career paths.  Through the course, students will be equipped with the basic theoretical foundation in psychology, skills in quantitative techniques and analysis, research design, and practical problem-solving skills.  These are skills and knowledge highly beneficial for a variety of careers in the job market.  Studies have shown that students with backgrounds in psychology are readily employed in a great variety of job settings, ranging from business related areas to human and social services. Therefore, depending on the elective specialisations completed by the diploma graduates, they can look forward to employment opportunities in areas such as human resource management, public relations, advertising, marketing, law enforcement, human and social services, coaching or teaching. In addition to the value added to graduates' employability, the study of psychology, with its emphasis on specialized and general knowledge as well as critical skills for effective living, is also a good preparation for lifelong learning, thinking and action for the betterment of society.",http://www.tp.edu.sg/schools/hss/psychology-studies
2016,School of Informatics & IT,Diploma in Big Data Management & Governance,T60,C0Q,"The intent of this course is to develop professionals with competencies in Data Management & Governance, Analytics, Information Technology and Project Management skills to respond to the increasing demand for Big Data professionals by the industry and government sectors. The course outcomes are to train students to be graduates who are able to apply appropriate methods and tools to acquire large data sets from various sources; apply appropriate methods and tools to marshal and virtualise large data sets for easy access; ensure data quality; manage data for security and governance compliance; manage data storage and processing infrastructure; manage data projects.",http://www.tp.edu.sg/schools/iit/big-data-management-and-governance-t60
2016,School of Informatics & IT,Diploma in Business Intelligence & Analytics,T57,C0N,"The purpose of the course is to train school-leavers who are interested to pursue a career in the well-established Info-Communications industry, and in Business Intelligence & Analytics. The course outcomes are to train students to be graduates who are able to apply mathematical and system concepts and the principles governing the operations of computer systems; apply statistical concepts to data and information management; apply the concepts and principles of information representation and modelling in relation to computer-based information systems; explain the purpose and roles of information systems in any business organisation; explain the effects of information technology on individuals, organisations and society; perform professional obligations and duties of an Information Technology professional; communicate and present ideas, solutions and findings effectively to others; work in a team; apply IT and its related technologies to develop solutions that help people across multi-disciplinary domains in the global economy; apply appropriate research methods and tools to collect data from various sources; validate data from various sources and ensure readiness for analysis; transform data into the right data set for analysis; apply data analysis techniques to produce reports on business performance; select and use business intelligence and data mining applications to generate useful value added information to support business decisions; manage business analytics projects.",http://www.tp.edu.sg/schools/iit/business-intelligence-and-analytics
2016,School of Informatics & IT,Diploma in Cyber & Digital Security,T15,C0H,"The purpose of the course is to train school-leavers who are interested to pursue a career in the well-established Info-Communications industry, and in the IT Security Profession in which there is high demand. The course outcomes are to train students to be graduates who are able to analyse the various functional components of computer systems and their peripherals, and the functions of the industry standard for network layers; describe the underlying mathematical and system concepts and the principles governing the operations of computer systems; apply the concepts and the principles of information representation and modeling in relation to computer-based information systems; analyse user and system requirements and apply IT technology and applications to solve problems for users in a particular domain; utilise established software development methodologies to develop, design and test software systems embedded within computer-based information systems; analyse security threats and assess security risks with regards to the information systems, database and IT infrastructure within an organization and propose appropriate security solutions, controls and recovery plans to minimise business impact; utilise the IT security concepts, software, hardware and techniques to design, implement, test and administer security for any organisation; utilise IT security tools and techniques to investigate and handle security intrusion incidents, and apply recovery procedures to ensure business continuity; utilise established information systems development methodologies to specify information processing and security requirements and design secured and cost effective information solutions to satisfy these requirements; utilise established security framework and methodologies to review, develop, design, implement and audit the security policies and procedures for any  organisation; explain the purpose and roles of information systems and security in any business organization; explain the effects of information technology and legal aspects of IT on individuals, organizations and society; demonstrate the professional obligations and duties of an IT security professional; communicate clearly, both orally and in written form, in all activities related to information systems development and implementation; participate effectively as a member of an information systems development team.",http://www.tp.edu.sg/schools/iit/cyber-and-digital-security
2016,School of Informatics & IT,Diploma in Digital Forensics,T55,C0M,"The intent of this course is to develop professionals with competencies in Information Technology (IT), IT Security and Digital Forensics to respond to the increasing demand for such professionals by the industry and government sectors. The course outcomes are to train students to be graduates who are able to describe the various functional components of computer systems and their peripherals, and the functions of the industry standard for network layers; explain the underlying mathematical and system concepts and the principles governing the operations of computer systems; explain the concepts and the principles of information representation and modeling in relation to computer-based information systems; utilise established software development methodologies to develop, design and test software systems with security requirements within computer-based information systems; explain the underlying data transmission and security concepts in internetwork and communication systems, and analyse network traffic for security and threats; explain the underlying components and functionality of an operating system, the file system structure and apply the administrative capabilities of major operating systems for forensic analysis purposes; apply forensics and investigation techniques and methodologies to collect, preserve, analyse and report evidence from digital media, applications and other possible sources of data violation cases; apply incident response procedures to critically assess the impact of data breaches, handle and co-ordinate the response strategy appropriately; analyse the risks inherent in an IT installation including physical, personnel, software, system and network threats in order to proactively monitor these threats and recommend appropriate security solutions, controls and recovery plans to minimise impact on business operations; describe the basics of criminal procedure, rules and legal issues and its relation to digital forensics and digital evidence; utilise established frameworks and methodologies to review, develop, design, implement and audit the security policies and procedures for any organisation; explain the effects of information technology and cyber law on individuals, organisations and society; describe and explain the professional obligations and duties of a digital forensics professional; examine the psychological factors that relate to deviance and crime and apply it to an investigation process model; communicate clearly, both orally and in written form, in all activities related to information system development and digital forensic investigation; participate effectively as a member of an information systems development team.",http://www.tp.edu.sg/schools/iit/digital-forensics
